Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Outage Duration,Outage Hour,Area Affected,NERC Region,Alert Criteria,Event Type,Event Category,Demand Loss (MW),Number of Customers Affected,,
03/10/2022,0.36875,03/10/2022,3:15:00 PM,1/7/1900,+6,Nebraska: Scotts Bluff County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Equipment Failure,0,0,,
03/11/2022,0.274305556,03/11/2022,7:00:00 AM,1/1/1900,12:00:00 AM,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Suspicious Activity,0,0,,
03/12/2022,0.35625,Unknown,Unknown,#VALUE!,#VALUE!,Alabama: Georgia: Mississippi: Florida:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disaster,139,19380,,
03/13/2022,0.927083333,03/13/2022,10:38:00 PM,1/0/1900,12:00:00 AM,Minnesota: Hennepin County;,MRO,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Human Attack,0,0,,
03/14/2022,0.395833333,03/14/2022,10:45:00 AM,1/1/1900,12:00:00 AM,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Vandalism,Human Attack,0,0,,
03/14/2022,0.65625,Unknown,Unknown,#VALUE!,#VALUE!,New Jersey:,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Suspicious Activity,Unknown,Unknown,,
03/15/2022,0.786805556,03/15/2022,8:33:00 PM,1/2/1900,12:00:00 AM,California: Lake County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Vandalism,Human Attack,10,3958,,
03/15/2022,0.465972222,03/15/2022,11:47:00 AM,1/0/1900,12:00:00 AM,Maine:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,Equipment Failure,0,0,,
03/16/2022,0.477777778,03/16/2022,11:29:00 AM,1/0/1900,12:00:00 AM,California: Sacramento County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Human Attack,0,0,,
03/17/2022,0.540972222,3/21/2022,4:38:00 PM,4/9/1900,+6,North Carolina: Durham County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack/Vandalism,Human Attack,0,0,,
03/18/2022,0.688888889,Unknown,Unknown,#VALUE!,#VALUE!,Florida: Palm Beach County;,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Equipment Failure,78,20423,,
03/20/2022,0.744444444,03/20/2022,10:20:00 PM,1/5/1900,12:00:00 AM,Minnesota: St. Louis County;,MRO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,Equipment Failure,0,0,,
03/21/2022,0.791666667,03/24/2022,12:00:00 AM,3/17/1900,+6,"Texas: Anderson County, Bell County, Bosque County, Comanche County, Coryell County, Falls County, Freestone County, Hamilton County, Henderson County, Hill County, Lampasas County, Leon County, Limestone County, McLennan County, Milam County, Mills County, Robertson County, Collin County, Cooke County, Dallas County, Denton County, Ellis County, Erath County, Fannin County, Grayson County, Hood County, Hunt County, Johnson County, Kaufman County, Navarro County, Parker County, Rains County, Rockwall County, Somervell County, Tarrant County, Van Zandt County, Wise County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disaster,Unknown,170000,,
03/22/2022,0.877777778,03/22/2022,9:08:00 PM,1/0/1900,12:00:00 AM,Maryland: Prince George's County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,Suspicious Activity,0,0,,
03/22/2022,0.004166667,03/22/2022,4:29:00 AM,1/4/1900,12:00:00 AM,South Dakota:,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Equipment Failure,0,0,,
03/25/2022,0.865277778,03/25/2022,10:48:00 PM,1/2/1900,12:00:00 AM,Maine:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,Equipment Failure,0,0,,
03/29/2022,0.489583333,Unknown,Unknown,#VALUE!,#VALUE!,California: Imperial County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,Human Attack,0,0,,
03/29/2022,0.690277778,03/30/2022,3:25:00 PM,2/16/1900,+6,Vermont: Chittenden County;,NPCC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Human Attack,0,0,,
03/30/2022,0.65625,Unknown,Unknown,#VALUE!,#VALUE!,Louisiana: Mississippi: Arkansas:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disaster,Unknown,66448,,
03/31/2022,0.374305556,04/01/2022,7:30:00 PM,2/28/1900,+6,"Michigan: Huron County, Tuscola County, St. Clair County, Washtenaw County, Macomb County, Wayne County, Monroe County, Oakland County, Livingston County;",RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disaster,60,70000,,
03/31/2022,0.946527778,Unknown,Unknown,#VALUE!,#VALUE!,Montana: Toole County; Florida: Palm Beach County;,WECC/SERC,Cyber event that could potentially impact electric power system adequacy or reliability,Cyber Event,Human Attack,0,0,,
03/31/2022,0.002777778,03/31/2022,9:20:00 AM,1/9/1900,+6,Georgia: Alabama: Mississippi: Florida:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Natural Disaster,157,22000,,
