,probs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,0.382924923,28.042654,27.688164,27.789335,26.86659,25.708847,25.868898,26.440712,28.633821,25.41119,24.222795,23.761986,25.085604,27.75823,27.83648,27.42605,26.405754,26.225618,28.322515,26.07065,28.432262,31.10944,27.975359,28.812716,28.795374,27.694859,27.572056,30.369259,29.683615,32.360947,36.561733,34.01163,42.29579,35.123016,30.703066,37.373173,45.198814,51.411076,46.174713,53.12828,47.870296,40.039375,35.906788,37.62047,37.72172,46.400024,48.059727,38.760757,44.325237,52.67329,58.36933,63.375835,66.24204,66.71307,66.39196,66.30496,66.61565,66.98569,66.144745,64.26832,62.4623,59.223816,61.128036,54.942043,39.932537,30.341215,28.491251,28.437994,29.276646,31.926462,30.974277,31.30626,32.32374,29.7285,32.54818,38.28527,48.19358,49.01315,54.32893,56.71785,45.21376,34.23334,30.043999,31.153774,30.010216,27.94868,29.41629,29.343206,28.99993,27.766592,29.371286,26.096884,25.856165,28.94736,25.974388,24.899664,30.716202,27.76205,32.11444,24.099562,24.256905
11,0.382924923,27.179321,26.787264,30.489307,25.298334,24.297144,26.1978,25.4497,27.230547,26.98768,26.578396,25.42453,24.669388,26.144426,26.49984,27.390297,24.403532,28.369444,28.320908,26.209644,25.412539,28.342388,29.32874,29.665012,28.996174,28.606422,34.835846,35.767056,42.872665,46.05865,34.746628,36.25862,44.240093,46.761097,38.923847,34.963093,37.768818,42.929893,51.054565,52.46151,43.65553,42.196346,30.906721,29.202675,29.8104,34.734165,34.882957,33.29882,37.044003,44.840755,48.631283,57.961906,64.518074,65.42961,65.29762,65.1316,65.894,65.95027,64.227295,64.48294,64.93952,63.864212,64.02001,59.934357,46.020027,36.025246,29.187716,29.447712,32.823994,38.053112,39.305473,37.984085,36.824028,27.454231,32.592396,38.825188,49.343517,51.912064,61.018032,57.12158,43.61309,33.248043,30.611927,31.893309,31.617563,30.984484,31.257784,28.467077,28.41693,29.431133,27.30237,26.957018,27.680395,28.47494,25.585922,23.213276,25.708797,24.730488,30.639902,26.749216,22.118004
12,0.241730337,27.327925,29.880611,30.930552,28.032356,27.50856,27.488398,28.612082,29.03217,28.87863,25.428453,24.816713,25.99286,27.175646,29.656153,27.069115,24.29446,24.955976,26.81252,23.68601,28.725986,29.743855,25.89043,25.954659,28.603842,27.601036,26.387976,25.517332,26.51004,32.22689,33.55024,39.84479,55.433243,54.439297,27.98594,48.42964,56.946644,56.824432,52.03677,41.16505,39.618965,38.894108,42.33174,41.586006,44.555527,49.62015,44.476536,42.202354,43.800327,40.326332,38.164593,43.80218,51.70089,56.61837,58.46449,60.079094,61.767986,62.698357,63.647,64.12955,64.83203,63.796925,61.805798,52.418324,37.63725,31.055363,30.303253,31.004578,34.132484,39.853622,35.781197,33.10594,31.465662,29.67199,31.893272,33.732216,42.843174,46.70622,54.53243,50.224968,43.239716,38.273952,31.770151,33.992596,33.599663,29.272709,32.28852,36.004684,36.05894,35.410378,29.260479,26.509607,24.06992,24.512035,26.163403,27.49101,31.509212,26.150425,28.283358,25.783615,26.085268
13,0.241730337,26.713692,27.955442,27.96378,27.00699,24.640022,26.72509,25.878904,28.808641,24.843176,25.730488,26.355274,28.239946,29.309462,28.041153,23.994694,22.335562,26.301073,25.934782,24.219337,25.170366,26.616377,26.505081,26.339193,26.605259,29.342072,28.787868,26.235168,30.569695,36.497093,33.44614,32.70614,47.578896,45.117256,27.9601,37.89853,46.797226,50.93161,43.163696,47.488647,47.210884,43.59664,37.745575,34.96246,34.22107,44.881638,48.14109,44.445637,55.706955,60.55825,59.64293,64.52231,66.29194,66.402466,65.38803,65.08513,64.84542,64.4724,62.92255,59.2785,60.23967,61.246155,65.67874,61.465393,47.971867,37.16208,29.23671,28.191254,27.807077,29.936617,30.69943,31.229343,33.495335,27.067549,29.18972,39.48046,45.640984,46.72297,48.26988,49.318398,35.384174,32.55057,30.172327,31.621422,31.382614,26.953794,29.956463,30.597898,30.722847,29.343431,27.996346,26.90438,25.69442,30.638504,30.216677,28.572384,28.179893,26.901976,33.764374,25.085926,21.520031
14,0.382924923,28.948635,27.44919,30.17734,26.85199,22.643034,25.124784,24.286366,28.269129,28.181494,24.350805,25.772238,24.238382,24.359032,26.159916,26.961092,26.878305,27.699171,26.523855,26.205545,26.02862,30.935331,27.4223,26.745853,25.523973,25.442993,29.999067,32.0608,27.836807,27.38409,33.245277,30.082502,42.058163,42.571743,37.63305,41.5607,45.86521,57.348793,56.392326,45.69539,39.39523,39.161774,33.22687,37.318142,39.690292,47.76148,45.73185,32.72487,31.057508,29.85319,31.308044,37.914127,48.988,58.497658,63.038284,64.13255,64.342995,64.31403,64.09424,65.52068,66.51685,65.88854,62.404835,54.554676,41.44188,31.025566,29.151497,29.630621,29.34487,31.118467,32.75224,33.035595,32.889095,28.87747,30.429672,33.278378,44.21661,50.28138,48.922493,52.171097,41.46505,35.216854,29.368061,28.948818,29.870804,30.938719,30.381264,27.865768,32.921665,30.661783,26.266363,26.118362,25.251207,27.997679,26.06341,25.514427,31.040323,26.491112,29.684082,22.014387,25.48226
15,0.382924923,26.68762,27.348385,29.77234,28.176933,27.15437,26.440039,26.775084,27.181221,27.877035,25.649555,23.608122,26.325468,27.375734,29.381155,27.292946,24.669533,27.830372,29.479124,24.682869,26.142374,27.083858,27.330166,28.13211,30.715027,29.503431,25.735926,29.513323,34.60798,37.27652,35.109463,38.056297,49.522015,48.260693,30.979816,39.044724,43.343376,44.410843,37.505306,42.08234,46.95774,49.45302,47.590984,40.885136,37.57815,40.239037,41.433674,43.720585,53.28551,58.730103,57.278767,58.844276,63.214447,63.339355,62.093662,61.346367,61.066837,60.526413,61.463722,62.600983,63.474907,65.39198,66.66072,63.01972,49.741158,36.939114,30.49627,29.809252,30.130428,30.752779,30.810932,31.031206,30.568441,30.937195,38.159355,38.84447,48.09313,43.995358,42.09453,38.274204,31.876503,30.252148,29.384499,32.07924,33.301716,30.112766,32.74883,32.74955,31.699556,29.514118,27.630987,28.498596,23.749178,26.888592,28.23791,26.673843,32.110092,28.425295,33.498074,27.929522,24.710207
16,0.382924923,26.867577,26.716103,28.89335,26.319145,25.911383,25.312244,25.11455,27.46994,26.758554,24.22558,23.756794,27.326674,26.12455,25.501633,26.771812,22.079462,26.04502,28.95302,25.378334,29.022366,29.306877,28.78323,27.207594,25.438475,24.712698,26.795507,25.105259,29.168468,35.40419,33.42736,31.413904,43.43088,38.637638,32.985275,38.107033,46.103333,48.81172,50.30068,39.596416,35.05281,32.853237,33.656616,30.75285,30.257092,31.187986,34.1424,33.596268,32.622448,33.94653,40.650017,48.161648,59.37211,62.814148,62.39103,61.43783,65.13304,64.28471,64.2224,66.08861,66.34328,64.546646,65.97002,63.813667,48.189713,33.80744,29.077248,28.978176,29.15226,29.109753,29.224083,30.472885,30.446112,28.030422,31.78145,32.71848,39.46349,38.413246,44.41739,49.2827,36.304005,29.506067,28.829912,31.845518,29.513952,27.906057,29.100147,30.35413,29.924435,26.223707,25.205156,28.02154,24.440002,28.80751,23.653234,24.206581,31.60841,24.7619,27.665743,23.830286,24.901854
17,0.241730337,28.465405,29.252523,33.070644,26.410534,25.517012,28.28837,28.237682,29.178562,26.484941,27.195206,27.147532,26.642578,26.52851,26.86157,28.412928,27.396147,28.722496,29.986187,27.703974,27.701748,29.755749,28.301876,29.133123,29.724073,28.775276,32.259514,28.604675,30.519163,30.833368,30.52166,35.859623,46.469193,45.34759,36.921852,34.188107,38.830334,44.908546,56.52365,54.323544,44.675835,41.60657,34.26184,37.069614,40.059437,49.588898,51.96762,43.643353,47.24936,55.95092,59.19541,60.08759,61.763107,62.664772,62.124233,61.397076,62.686073,62.350903,61.060837,63.020866,64.05736,64.745705,65.21362,62.18145,48.985085,35.98575,29.699945,29.716892,31.523767,33.475994,33.715866,33.46295,33.737072,28.415771,32.59917,36.969406,44.572754,44.959473,51.915886,46.722076,38.482853,32.58995,30.952065,32.439457,30.946596,29.570683,30.05327,28.619137,31.064058,30.803827,27.745003,27.075996,27.295135,29.604795,28.736624,26.48456,27.072023,24.849337,27.856125,24.803146,26.860819
18,0.241730337,28.173624,29.884027,31.47721,25.449862,25.10193,27.102272,26.66858,30.493881,26.990322,24.512024,24.88607,25.934214,27.811398,27.718536,27.40894,25.976278,26.41184,25.48396,24.512762,28.590807,29.581432,27.49606,27.075947,29.017431,27.461348,33.499596,30.994373,29.976913,30.112019,30.56775,30.403978,33.892723,33.84262,32.530056,38.353867,45.269108,52.62866,55.313866,50.893314,42.25466,37.893295,31.004293,33.053,38.386566,47.42162,51.224445,47.162037,51.325916,58.394108,60.03029,62.371334,65.01265,65.842766,65.31937,63.42475,63.136852,64.72396,62.73119,61.17396,64.33079,65.31899,63.387905,59.823166,49.882465,37.20144,32.246304,30.671455,32.289215,33.36833,32.67656,31.243282,31.09029,27.214714,28.94736,32.3816,41.657932,46.720497,58.950768,59.369953,49.30272,36.576775,31.785395,34.129787,32.167206,29.718477,29.283037,26.60652,28.66556,30.248018,26.6174,26.434734,27.118193,29.411104,30.33252,27.605236,28.150133,25.697466,27.39331,21.59854,25.037851
19,0.382924923,26.969955,27.725317,31.701208,26.235924,22.3111,23.672705,26.329754,26.28329,30.035069,25.305145,21.964584,24.226631,27.538275,27.931047,26.07657,22.183184,27.058184,28.773348,18.539917,25.560434,27.652298,23.266304,27.69802,29.048565,26.249088,28.749477,27.469278,28.901651,31.784975,32.447178,42.88723,57.2333,55.386204,22.804798,37.57769,53.414196,54.866722,55.442013,48.534588,42.28288,36.552944,34.23781,30.297289,32.03289,36.215023,39.31441,38.22054,45.41997,51.765675,58.236324,61.78999,64.54285,64.47535,64.223656,64.1482,64.553825,64.988655,64.56921,63.76693,64.63369,65.640434,64.62219,50.917553,35.86642,29.848804,30.087912,30.709818,33.524784,34.02917,32.554104,29.57334,28.484747,30.147097,30.827682,31.774153,38.54846,48.787872,54.237118,47.561474,37.178562,30.004234,28.574396,33.133938,28.98714,29.10483,30.679632,31.417025,28.136751,28.060413,26.946836,28.973764,23.242332,26.612038,26.364727,25.535818,34.6218,29.868238,31.991438,26.4396,24.423637
