,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30
10,2.648976,2.452726,2.356694,2.483796,2.5398870000000002,1.007368,0.797517,0.727198,2.584011,2.498569,1.9984849999999998,2.362893,2.400625,2.029864,2.800824,2.6402710000000003,0.25963400000000003,0.848039,2.359412,0.36233800000000005,2.393573,0.715078,0.35485500000000003,0.071221,0.039444,2.709731,2.5945880000000003,2.5133180000000004,2.52454,0.686095,2.4363650000000003,1.196101,0.31098600000000004,1.5839020000000001,2.089245,1.4254365000000002,2.6521595000000002,1.3736755000000003,1.3626155,1.426712,2.4289905,0.71691825,0.7754780000000001,1.530229,0.8117585,0.3992095,2.4496495,2.5801179999999997,2.04861,0.715998125,2.22406725,1.5766416250000002,0.20089100000000001,1.0769549999999999,1.471228,0.7936182500000001,1.3398575000000001,2.43932,2.3346815,0.28161450000000005
11,2.90665,2.6634499999999997,2.607069,2.742023,2.797393,0.84592,0.895273,1.9036549999999999,2.833205,2.778151,2.22988,1.746828,2.660723,2.8190549999999996,3.091907,2.910698,0.5407390000000001,0.96328,2.625233,2.243224,2.6477049999999998,0.625475,0.659729,0.164933,0.103169,2.983794,2.8761750000000004,1.881547,2.78507,0.621139,2.25339,2.5311395,1.3919815,1.6444625,2.26031875,2.09468725,2.9299845,1.82268575,1.9950260000000002,1.71894,2.701692,1.0799795,1.59543425,1.8163230000000001,1.279357125,1.034294,2.711313,2.8585700000000003,1.76300475,0.85272725,2.4705965,1.66668475,1.1731965,1.8112974999999998,2.550897,1.4373956875,1.5069335,2.7065025,2.559444375,1.70821025
12,2.938144,2.725602,2.68758,2.799807,2.874623,0.670756,2.7055700000000003,1.1421890000000001,2.8729,0.66635,2.039012,1.2543710000000001,2.728471,2.802302,3.130123,2.986098,0.209132,1.033907,0.7147910000000001,2.6894430000000003,2.7006080000000003,1.116921,0.6522749999999999,0.086544,0.051417000000000004,3.0335189999999996,2.921545,2.3961129999999997,2.807103,0.553942,1.5554519999999998,2.7458725,1.4492875,1.9212615,2.42140325,2.16195525,2.977532,1.50236975,1.9719070000000003,0.6593125,0.6905705,1.0292255000000001,1.69907375,1.6696275,1.366490375,0.6143665,1.794707,1.922457,2.15868725,1.0730732500000002,1.9168595000000002,1.2923387499999999,1.37043,0.90075075,2.30595,1.5327820625,1.5187575,1.24263875,2.1719301250000003,2.0299365000000003
13,2.742774,2.615743,2.513789,2.635005,2.682297,0.7844030000000001,2.533367,1.404632,2.686757,0.823704,1.9146610000000002,2.544442,2.583974,2.594254,2.935079,2.8039609999999997,0.280517,0.954612,0.757813,2.5212179999999997,0.10589799999999999,0.858856,0.5640449999999999,0.361072,0.70835,2.86471,2.7498180000000003,2.711738,2.602877,0.566991,1.7347755,2.557736,1.4008675,1.7372995,2.24355875,2.0415822500000003,2.807264,1.5678215,2.5328299999999997,0.6938745,0.7907584999999999,1.4469509999999999,1.5608904999999997,1.607798,1.2577512499999999,0.8828520000000001,1.7200550000000001,1.846446,2.22451875,1.1529034999999999,1.817358,1.59086325,1.6147839999999998,1.04925325,2.1838319999999998,1.4093208749999997,1.7561554999999998,1.2554067500000001,2.045002375,2.0680009999999998
14,2.353958,2.272565,2.124775,2.248444,2.278083,0.5409299999999999,2.189529,2.1973200000000004,2.303734,0.13673400000000002,1.532616,1.136737,2.2121709999999997,2.183348,2.513254,2.391428,0.17972200000000002,0.5546559999999999,2.1707579999999997,2.130121,2.2363530000000003,0.440364,0.321858,0.09707299999999999,0.444104,2.46958,2.372826,1.543241,2.193206,0.784267,1.8569995,2.1567344999999998,1.1549215,1.3564645,1.86464525,1.71650225,2.421203,1.5059605,1.633429,0.229296,1.153746,0.865251,1.2392962499999998,1.346488,0.8969761249999999,1.1471965000000002,2.2244205,2.3420059999999996,1.44985275,0.6528075,1.87851825,1.36112525,1.2871124999999999,1.2133080000000003,2.2360634999999998,1.0681361875,1.4177659999999999,1.68908325,2.1033256249999996,1.70861675
15,1.7471869999999998,1.678234,1.500473,1.633857,1.646656,0.040661,0.485142,1.625081,1.703749,1.6267449999999999,0.904153,1.4958630000000002,1.6105429999999998,1.1366969999999998,1.862535,1.764046,0.033776,0.855776,1.517643,1.5673119999999998,1.614497,0.891308,0.13014599999999998,0.323955,0.27361599999999997,1.851712,1.764327,1.2067929999999998,1.620678,1.425199,1.362218,1.3520044999999998,0.8005439999999999,1.284771,1.524549,1.2235999999999998,1.8080195,1.081381,1.5315875,0.8784455,1.572194,0.92777125,0.74107525,0.9481555,0.7984256249999999,0.974518,1.5821494999999999,1.690089,1.245782,0.9095396250000001,1.24315125,1.144994625,0.920464,1.25176325,1.6287004999999999,0.7697504374999999,1.018831,1.57717175,1.607319,1.2438879999999999
16,0.902277,0.8494120000000001,0.701739,0.8095209999999999,0.809678,0.016748000000000002,0.225549,0.780937,0.85075,0.785879,0.641947,0.689957,0.773065,0.733912,0.8100700000000001,0.8761359999999999,0.40858,0.7191040000000001,0.685774,0.724082,0.763236,0.19126300000000002,0.16830799999999999,0.701422,0.20015100000000002,0.9290499999999999,0.872202,0.601635,0.790139,0.6669660000000001,0.6437045,0.728997,0.566331,0.5203375,0.69626975,0.6880045,0.9006259999999999,0.60501775,0.7070195,0.4770935,0.7358264999999999,0.70422075,0.4486525,0.609325,0.58387825,0.7411795,0.747726,0.747922,0.56098625,0.44774187499999996,0.6948365000000001,0.6739626249999999,0.46211650000000004,0.62901525,0.736002,0.516265375,0.5381435,0.74177625,0.7220958749999999,0.5930992500000001
17,0.046912999999999996,0.038331000000000004,0.019710000000000002,0.02945,0.028537,0.007627,0.023344999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019165500000000002,0.009582750000000001,0.0142685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0142685,0.0,0.009582750000000001,0.0,0.00713425,0.0,0.0,0.0,0.0,0.0,0.0,0.00713425,0.0047913750000000005,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
