,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30
10,2.4906439999999996,2.440793,1.861443,2.03724,0.701689,2.7946,2.629784,1.937855,1.000713,2.39521,1.6833779999999998,2.511101,2.707063,2.60908,2.64995,2.132753,1.089918,1.081328,2.847369,2.835711,2.687612,2.645917,0.238612,1.573251,2.777325,2.58595,2.745547,2.803077,2.610461,2.7154789999999998,2.3662275,1.8106165,2.3415785,2.3709165,2.7428305,2.41592,2.5028354999999998,2.1015175,2.11383525,2.554529,1.6758195,2.3913515,2.035304,2.5702395,2.0620855000000002,2.55664825,1.15034875,2.5944737499999997,2.679862625,2.5124969999999998,2.665927,1.830724875,2.57232775,2.361457625,2.40849825,2.366465,1.9722800625,2.4072825,2.7136375,1.752919
11,2.661406,2.651736,1.863519,2.115344,0.548121,3.081511,2.8701779999999997,2.290172,0.839127,2.624211,2.489455,2.728658,2.970473,2.8520390000000004,2.927762,2.222757,0.843399,2.056601,3.1254920000000004,3.121145,2.9653470000000004,2.935505,0.783667,1.8084939999999998,3.041618,2.795056,2.9973850000000004,3.064318,2.8431170000000003,2.9873049999999997,2.6858415,2.3898135,2.5254244999999997,2.5373980000000005,3.0244535,2.5984274999999997,2.733664,2.339336,2.27468025,2.8551475,1.7379415,2.5752595,2.2564645,2.82510175,2.5705955,2.7883905,1.67713125,2.82545825,2.92635425,2.7471945,2.9483827500000004,2.202894625,2.79487125,2.5633596250000004,2.6633204999999998,2.5503419999999997,2.2387874375,2.578481,2.98469,1.7209132499999997
12,2.685375,2.683464,1.028625,2.254834,0.927279,3.160163,1.629676,1.467641,1.627117,2.6978519999999997,1.5622719999999999,2.766476,3.052413,2.896255,1.199071,2.195665,1.655717,2.916114,3.18645,3.18566,3.029267,3.017549,2.896275,2.4258490000000004,3.101504,2.821529,3.074297,3.1065430000000003,2.957182,3.03545,2.3139019999999997,1.5149564999999998,2.6361915,2.54596,2.1923655,2.7074985,2.827517,2.0277625,1.6712634999999998,2.25313375,1.063175,1.697368,1.831653,2.537331375,2.122868,2.8923495,2.5095715,2.91132075,2.99944625,2.1637639999999996,2.677318875,2.63802375,2.87136725,2.28375925,2.5316062500000003,2.16677975,2.154643625,2.6781689999999996,2.1502875,2.18160775
13,2.615855,1.53523,1.9283430000000001,1.9538209999999998,1.390628,3.038322,2.628926,2.051614,1.864382,1.833342,1.8070709999999999,2.6968539999999996,2.9311439999999997,2.792826,1.493523,2.270703,2.2433170000000002,3.058493,3.042762,3.058897,2.922446,2.891381,2.744814,2.449957,2.967273,2.7020030000000004,2.911773,2.968924,2.8161590000000003,2.875278,2.544968,1.9293424999999997,2.422601,2.5317645,2.27621,2.4960714999999998,2.3247505000000004,2.5394414999999997,2.2366555,2.410589,1.4420755,1.882113,2.1611585,2.556296,1.6711505,2.5704547500000006,2.2079822499999997,2.7326815,2.7696893750000005,2.231134,2.688931,2.4524181249999994,2.6957625,2.5147407499999996,2.7073597499999997,2.152357,2.3445368124999995,2.460547,2.230398,2.3696942500000002
14,2.409798,0.40404,1.340767,0.6710069999999999,1.6332170000000001,2.735097,2.160736,1.6690619999999998,1.8485429999999998,2.388006,0.415342,2.428372,2.623205,1.514946,1.1615630000000001,1.768128,1.291383,2.7186350000000004,2.7068809999999996,2.725915,2.566132,2.546805,2.407834,2.117009,2.633362,2.410562,2.555557,2.631364,2.488949,1.61949,2.2020795,1.0422019999999999,1.608906,1.641537,1.943739,1.703052,2.4384775,2.1388724999999997,1.77142325,2.07290925,1.3973900000000001,1.4648455,1.7185949999999999,2.241735625,0.409691,2.4637132499999996,1.4087625,2.1578934999999997,2.5475386249999996,2.274371,2.353135625,1.91856725,2.120135,1.643184625,1.8791812499999998,1.53687575,1.84499525,1.6521845,1.8974625,1.4972175
15,1.977565,1.682703,1.425163,0.5675950000000001,1.7894960000000002,2.2246170000000003,1.9303679999999999,0.531612,1.137138,1.954722,0.5571240000000001,1.983509,2.1171100000000003,2.013426,1.984878,1.940973,1.011083,2.193988,2.187692,2.187694,2.046337,1.96415,1.0734890000000001,1.837577,2.110569,1.981002,1.995805,2.0622779999999996,1.940579,1.9656959999999999,1.3781145000000001,0.544368,1.2658725,1.9771995,2.086286,1.396106,1.9476505,1.8839725,1.40163875,1.73220025,1.887187,1.9629254999999999,1.2362925,1.856601125,1.1199135,1.94411475,1.0967012500000002,1.72678225,2.003196375,1.942545,1.921384625,1.5401051250000002,1.6640752499999998,1.707532375,1.92483425,1.614399,1.4708719375000001,1.3390819999999999,2.0477235,1.2035945
16,1.365882,1.1518389999999998,0.048836,0.9473360000000001,1.4187180000000001,1.536733,1.429701,0.567808,1.384706,1.340067,0.194816,1.350651,1.4244269999999999,1.3465820000000002,0.8380639999999999,1.1581679999999999,1.239382,1.452517,1.459415,1.4334829999999998,1.318427,1.214131,0.046188,1.2608679999999999,1.362979,1.3099290000000001,1.249152,1.298334,1.204757,1.210192,1.0522704999999999,0.381312,1.0807335,1.252375,1.1357735,1.2420345,1.272412,1.3452845,0.55055325,1.0940219999999998,1.1283910000000001,0.9981159999999999,0.8629879999999999,1.2019755,0.6733274999999999,1.2385845,0.35975774999999993,1.27007425,1.26845925,1.384884,1.2285005,0.855204375,1.18953375,0.9485676250000001,1.27773825,1.03942475,0.7028788125000001,1.1551575,1.1005215,1.24070825
17,0.612768,0.5573020000000001,0.114522,0.518634,0.6167100000000001,0.6595420000000001,0.606155,0.249755,0.5695,0.550826,0.34069900000000003,0.10908499999999999,0.561042,0.5210990000000001,0.494687,0.490691,0.47187799999999996,0.536504,0.540058,0.5123719999999999,0.44713200000000003,0.39698700000000003,0.186425,0.312322,0.45569400000000004,0.436265,0.38583,0.401794,0.358228,0.352781,0.4546485,0.295227,0.4578105,0.505895,0.5035295,0.5890880000000001,0.454527,0.4592385,0.28458525,0.479089,0.5556985000000001,0.492689,0.37022299999999997,0.457677,0.4490005,0.4063775,0.31771275,0.49893425,0.40408575,0.5784905,0.4673915,0.213398875,0.42980225,0.40284212500000005,0.40600975,0.47524975,0.2489920625,0.48716400000000004,0.4751905,0.530483
18,0.050428,0.040920000000000005,0.004889,0.021587,0.034892000000000006,0.031565,0.028541,0.010745,0.024378,0.023877,0.012639,0.00332,0.01456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021155,0.011692,0.0107935,0.0,0.0,0.026576000000000002,0.0119385,0.0142705,0.013022,0.0105775,0.017446000000000003,0.0,0.0053725,0.00528875,0.0267795,0.00596925,0.01338975,0.00539675,0.002984625,0.026209,0.00528875,0.008354875000000001,0.00539675,0.006511,0.00713525,0.00539675,0.010688437500000002,0.0107935,0.0,0.013288000000000001
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
